niveau;code;libelle
3;72.2;Recherche-développement en sciences humaines et sociales
3;73.1;Publicité
3;73.2;Études de marché et sondages
3;74.1;Activités spécialisées de design
3;74.2;Activités photographiques
3;74.3;Traduction et interprétation
3;74.9;Autres activités spécialisées, scientifiques et techniques n.c.a.
3;75.0;Activités vétérinaires
3;77.1;Location et location-bail de véhicules automobiles
3;77.2;Location et location-bail de biens personnels et domestiques
3;77.3;Location et location-bail d'autres machines, équipements et biens
3;77.4;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright
3;78.1;Activités des agences de placement de main-d'œuvre
3;78.2;Activités des agences de travail temporaire
3;78.3;Autre mise à disposition de ressources humaines
3;79.1;Activités des agences de voyage et voyagistes
3;79.9;Autres services de réservation et activités connexes
3;80.1;Activités de sécurité privée
3;80.2;Activités liées aux systèmes de sécurité
3;80.3;Activités d'enquête
3;81.1;Activités combinées de soutien lié aux bâtiments
3;81.2;Activités de nettoyage
3;81.3;Services d'aménagement paysager
3;82.1;Activités administratives
3;82.2;Activités de centres d'appels
3;82.3;Organisation de salons professionnels et congrès
3;82.9;Activités de soutien aux entreprises n.c.a.
3;84.1;Administration générale, économique et sociale
3;84.2;Services de prérogative publique
3;84.3;Sécurité sociale obligatoire
3;85.1;Enseignement pré-primaire
3;85.2;Enseignement primaire
3;85.3;Enseignement secondaire
3;85.4;Enseignement supérieur et post-secondaire non supérieur
3;85.5;Autres activités d'enseignement
3;85.6;Activités de soutien à l'enseignement
3;86.1;Activités hospitalières
3;86.2;Activité des médecins et des dentistes
3;86.9;Autres activités pour la santé humaine
3;87.1;Hébergement médicalisé
3;87.2;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes
3;87.3;Hébergement social pour personnes âgées ou handicapées physiques
3;87.9;Autres activités d'hébergement social
3;88.1;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées
3;88.9;Autre action sociale sans hébergement
3;90.0;Activités créatives, artistiques et de spectacle
3;91.0;Bibliothèques, archives, musées et autres activités culturelles
3;92.0;Organisation de jeux de hasard et d'argent
3;93.1;Activités liées au sport
3;93.2;Activités récréatives et de loisirs
3;94.1;Activités des organisations économiques, patronales et professionnelles
3;94.2;Activités des syndicats de salariés
3;94.9;Activités des autres organisations associatives
3;95.1;Réparation d'ordinateurs et d'équipements de communication
3;95.2;Réparation de biens personnels et domestiques
3;96.0;Autres services personnels
3;97.0;Activités des ménages en tant qu'employeurs de personnel domestique
3;98.1;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
3;98.2;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
3;99.0;Activités des organisations et organismes extraterritoriaux
4;01.11;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
4;01.12;Culture du riz
4;01.13;Culture de légumes, de melons, de racines et de tubercules
4;01.14;Culture de la canne à sucre
4;01.15;Culture du tabac
4;01.16;Culture de plantes à fibres
4;01.19;Autres cultures non permanentes
4;01.21;Culture de la vigne
4;01.22;Culture de fruits tropicaux et subtropicaux
4;01.23;Culture d'agrumes
4;01.24;Culture de fruits à pépins et à noyau
4;01.25;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
4;01.26;Culture de fruits oléagineux
4;01.27;Culture de plantes à boissons
4;01.28;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
4;01.29;Autres cultures permanentes
4;01.30;Reproduction de plantes
4;01.41;Élevage de vaches laitières
4;01.42;Élevage d'autres bovins et de buffles
4;01.43;Élevage de chevaux et d'autres équidés
4;01.44;Élevage de chameaux et d'autres camélidés
4;01.45;Élevage d'ovins et de caprins
4;01.46;Élevage de porcins
4;01.47;Élevage de volailles
4;01.49;Élevage d'autres animaux
4;01.50;Culture et élevage associés
4;01.61;Activités de soutien aux cultures
4;01.62;Activités de soutien à la production animale
4;01.63;Traitement primaire des récoltes
4;01.64;Traitement des semences
4;01.70;Chasse, piégeage et services annexes
4;02.10;Sylviculture et autres activités forestières
4;02.20;Exploitation forestière
4;02.30;Récolte de produits forestiers non ligneux poussant à l'état sauvage
4;02.40;Services de soutien à l'exploitation forestière
4;03.11;Pêche en mer
4;03.12;Pêche en eau douce
4;03.21;Aquaculture en mer
4;03.22;Aquaculture en eau douce
4;05.10;Extraction de houille
4;05.20;Extraction de lignite
4;06.10;Extraction de pétrole brut
4;06.20;Extraction de gaz naturel
4;07.10;Extraction de minerais de fer
4;07.21;Extraction de minerais d'uranium et de thorium
4;07.29;Extraction d'autres minerais de métaux non ferreux
4;08.11;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
4;08.12;Exploitation de gravières et sablières, extraction d'argiles et de kaolin
4;08.91;Extraction des minéraux chimiques et d'engrais minéraux
4;08.92;Extraction de tourbe
4;08.93;Production de sel
4;08.99;Autres activités extractives n.c.a.
4;09.10;Activités de soutien à l'extraction d'hydrocarbures
4;09.90;Activités de soutien aux autres industries extractives
4;10.11;Transformation et conservation de la viande de boucherie
4;10.12;Transformation et conservation de la viande de volaille
4;10.13;Préparation de produits à base de viande
4;10.20;Transformation et conservation de poisson, de crustacés et de mollusques
4;10.31;Transformation et conservation de pommes de terre
4;10.32;Préparation de jus de fruits et légumes
4;10.39;Autre transformation et conservation de fruits et légumes
4;10.41;Fabrication d'huiles et graisses
4;10.42;Fabrication de margarine et graisses comestibles similaires
4;10.51;Exploitation de laiteries et fabrication de fromage
4;10.52;Fabrication de glaces et sorbets
4;10.61;Travail des grains
4;10.62;Fabrication de produits amylacés
4;10.71;Fabrication de pain et de pâtisserie fraîche
4;10.72;Fabrication de biscuits, biscottes et pâtisseries de conservation
4;10.73;Fabrication de pâtes alimentaires
4;10.81;Fabrication de sucre
4;10.82;Fabrication de cacao, chocolat et de produits de confiserie
4;10.83;Transformation du thé et du café
4;10.84;Fabrication de condiments et assaisonnements
4;10.85;Fabrication de plats préparés
4;10.86;Fabrication d'aliments homogénéisés et diététiques
4;10.89;Fabrication d'autres produits alimentaires n.c.a.
4;10.91;Fabrication d'aliments pour animaux de ferme
4;10.92;Fabrication d'aliments pour animaux de compagnie
4;11.01;Production de boissons alcooliques distillées
4;11.02;Production de vin (de raisin)
4;11.03;Fabrication de cidre et de vins de fruits
4;11.04;Production d'autres boissons fermentées non distillées
4;11.05;Fabrication de bière
4;11.06;Fabrication de malt
